id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
632975,2,5.0,"Week day lunch,Weekend lunch,At a party",4.0,monster house,coca cola,"Siblings,Friends",A little (mild),Pizza
407221,3,5.0,"Week day lunch,At a party",25.0,spiderman,pepsi,Friends,A lot (hot),Pizza
204508,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,cloudy with a chance of meatballs,sprite,Friends,none,Pizza
618700,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,the godfather,pop,Friends,A little (mild),Pizza
627792,3,3.0,"Weekend lunch,Weekend dinner,At a party",5.0,spiderman 2,pepsi,"Siblings,Friends",none,Pizza
712054,3,3.0,"Week day dinner,At a party",16.0,harry potter,coca cola,Friends,none,Pizza
631881,2,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,home alone because kevin orders an entire one for himself,coca cola,Friends,none,Pizza
716188,3,6.0,"At a party,Late night snack",25.0,italian movie,coca cola,"Friends,Teachers",none,Pizza
628744,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",15.0,tnmt,coca cola,"Friends,Teachers",A little (mild),Pizza
604132,4,5.0,"Week day lunch,Weekend lunch,At a party",8.0,ratatouille,pop,"Siblings,Friends",A moderate amount (medium),Pizza
629807,2,3.0,"Week day lunch,Week day dinner,Weekend lunch",5.0,ratatouille,water,Friends,A little (mild),Pizza
741428,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,none,pepsi,Friends,none,Pizza
633024,2,6.0,"Week day lunch,At a party,Late night snack",5.0,none,water,Strangers,none,Pizza
631221,3,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,cloudy with a chance of meatballs,pop,Friends,none,Pizza
601983,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,home alone,coca cola,"Parents,Siblings",A little (mild),Pizza
603007,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,none,ice tea,Friends,A moderate amount (medium),Pizza
601217,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,the godfather,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
629221,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,none,coca cola,Friends,none,Pizza
634705,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,the mario movie,pop,"Parents,Siblings",A little (mild),Pizza
630070,3,14.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,spiderman 2,coca cola,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
630006,3,13.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,home alone,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
629072,3,6.0,"Weekend dinner,At a party,Late night snack",4.0,cloudy with a chance of meatballs,pop,"Parents,Friends",none,Pizza
630044,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,cloudy with a chance of meatballs,pepsi,"Siblings,Friends",none,Pizza
626026,2,6.0,"Weekend lunch,Weekend dinner,At a party",4.0,ratatouille,juice,"Friends,Strangers",none,Pizza
520303,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,the godfather,coca cola,"Siblings,Friends",none,Pizza
630972,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,cloudy with a chance of meatballs,pop,"Siblings,Friends,Teachers",A little (mild),Pizza
630948,3,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15.0,none,pop,"Parents,Siblings,Friends",none,Pizza
626778,2,4.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",1.0,home alone,coca cola,"Parents,Siblings,Friends,Teachers,Strangers",A moderate amount (medium),Pizza
631181,4,4.0,"Week day lunch,At a party,Late night snack",4.4,the hangover,coca cola,Parents,A little (mild),Pizza
633541,2,6.0,"Weekend dinner,At a party,Late night snack",15.0,the dark knight,tea,Friends,A little (mild),Pizza
630098,3,3.0,"Week day lunch,At a party",5.0,none,coca cola,Friends,A little (mild),Pizza
629959,3,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,ratatouille,water,"Parents,Siblings,Friends",none,Pizza
633097,3,8.0,"Week day lunch,Weekend dinner,At a party",5.0,american pie,coca cola,"Friends,Teachers",none,Pizza
605290,3,1.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",5.0,mean girls,sprindrift,Friends,none,Pizza
629869,3,5.0,At a party,2.0,friday,coca cola,Friends,A little (mild),Pizza
632868,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",1.0,home alone is the first movie that comes to minds im referring to the scene were the whole family order 10 boxes of pizza and their trying to see who is going to pay,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
209691,2,5.0,"Week day lunch,Weekend lunch,At a party",10.0,i think of spiderman when thinking of this food item,ice tea,"Friends,Teachers",none,Pizza
600915,4,5.0,"At a party,Late night snack",20.0,toy story,water,Friends,none,Pizza
525420,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,ninja turtles,coca cola,"Siblings,Friends,Strangers",A moderate amount (medium),Pizza
414710,3,7.0,"Week day lunch,Weekend lunch,At a party,Late night snack",2.5,garfield,pepsi,"Parents,Friends",A moderate amount (medium),Pizza
629985,3,10.0,"Week day lunch,Weekend lunch,At a party",3.0,pirates of the caribbean,pepsi,Strangers,A lot (hot),Pizza
523128,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",9.0,this is the end,sprite,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
727410,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",25.0,karate kid,water,Friends,A little (mild),Pizza
616457,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,goodfellas,coca cola,"Friends,Teachers",A little (mild),Pizza
206487,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,ratatouille,pop,"Siblings,Friends,Teachers",A little (mild),Pizza
68949,2,10.0,"Weekend dinner,At a party",12.0,none,pop,"Siblings,Friends",A little (mild),Pizza
419835,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,cloudy with a chance of meatballs,coca cola,"Siblings,Friends,Strangers",none,Pizza
745732,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16.0,ready player one there is pacman inside and pizza looks like one,coca cola,Strangers,none,Pizza
543739,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,none,coca cola,"Siblings,Friends",none,Pizza
410380,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,spider man,pop,"Parents,Friends,Teachers",none,Pizza
385307,4,8.0,"Weekend dinner,At a party",3.0,ninja turtle,coca cola,Friends,none,Pizza
634566,4,8.0,Weekend dinner,15.0,the gentlemen,martini cocktail,Friends,none,Pizza
625818,1,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.95,none,coca cola,Friends,A little (mild),Pizza
631164,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,rattatouie even though there isnt pizza,water,Strangers,A little (mild),Pizza
603130,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,the godfather,pepsi,"Friends,Teachers",none,Pizza
229211,3,5.0,"Week day lunch,Week day dinner,At a party,Late night snack",5.0,pulp fiction,none,"Parents,Friends",A little (mild),Pizza
626849,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,none,pop,"Siblings,Friends",none,Pizza
634650,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,spiderman,coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
632125,3,5.0,"Week day dinner,Weekend dinner,At a party,Late night snack",3.0,cloudy with a chance of meatballs,sprite,"Friends,Teachers",none,Pizza
626812,2,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,none,ice tea,Friends,none,Pizza
631109,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",3.0,i think of the show gilmore girls they're always eating pizza,none,"Siblings,Friends",none,Pizza
716766,2,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,spiderman,coca cola,Friends,none,Pizza
494103,3,8.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,ninja turtles,coca cola,Friends,A moderate amount (medium),Pizza
628102,2,3.0,"Week day dinner,Weekend lunch,At a party",4.0,happy gilmore,water,"Parents,Siblings,Friends",A little (mild),Pizza
634683,3,5.0,"Week day lunch,At a party,Late night snack",3.0,ratatoullie,coca cola,"Siblings,Friends",none,Pizza
517774,2,5.0,"Weekend lunch,At a party",6.0,inception,sprite,Friends,A little (mild),Pizza
408898,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.0,spiderman 2,water,"Parents,Siblings,Friends",A little (mild),Pizza
603189,3,6.0,"At a party,Late night snack",4.0,back in action,coca cola,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
606857,2,4.0,"Week day lunch,Weekend lunch,At a party",3.5,none,coca cola,Friends,A moderate amount (medium),Pizza
523080,2,4.0,"Weekend lunch,Weekend dinner,At a party",3.0,masterchef,pop,Friends,none,Pizza
631014,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,spiderman 2,fanta,Parents,none,Pizza
503957,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",11.0,home alone,coca cola,Friends,I will have some of this food item with my hot sauce,Pizza
524890,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,spiderman 2,sprite,"Siblings,Friends",none,Pizza
717411,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",3.0,italian movie,pop,Strangers,A little (mild),Pizza
525311,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,die hard,pop,"Parents,Siblings",A little (mild),Pizza
630967,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,the social network,coca cola,"Friends,Strangers",A little (mild),Pizza
604969,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,neverending story,pop,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
524480,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,maze runner,mountain dew,Friends,none,Pizza
630121,3,15.0,"Week day lunch,Weekend dinner,At a party",5.0,home alone,pop,"Siblings,Friends,Teachers",A lot (hot),Pizza
629615,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,diary of a wimpy kid rodrick rules,sprite,"Parents,Siblings,Friends",A lot (hot),Pizza
634977,5,4.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,spider man 2,coca cola,"Parents,Siblings,Friends",none,Pizza
630823,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,transformer,coca cola,"Siblings,Friends",none,Pizza
632228,2,5.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,none,coca cola,"Siblings,Friends",A lot (hot),Pizza
504548,2,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,spiderman 2,coca cola,"Friends,Teachers",none,Pizza
522477,4,9.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,none,coca cola,"Siblings,Friends,Teachers,Strangers",none,Pizza
523461,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,spiderman,pop,"Parents,Siblings,Friends",none,Pizza
312640,4,5.5,"Week day lunch,Week day dinner,Weekend dinner,At a party",18.0,anchorman,coca cola,Friends,none,Pizza
854745,3,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,friends,pop,Friends,A moderate amount (medium),Pizza
711854,2,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",16.0,zootopia,coca cola,Friends,A moderate amount (medium),Pizza
739254,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,home alone,sprite,Friends,none,Pizza
621555,3,6.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",17.5,i don't watch movies,ice tea,Friends,A lot (hot),Pizza
602482,3,4.5,"Weekend lunch,Weekend dinner,At a party",5.0,"to be honest i can't really think of any movie

but if i have to answer i would say minions rise of gru",pop,"Friends,Teachers",none,Pizza
630416,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,ratatouille because the rat is italian and italians like pizza,water,"Parents,Siblings,Friends,Teachers,Strangers",I will have some of this food item with my hot sauce,Pizza
505458,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,none,pop,Friends,none,Pizza
296589,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2.5,none,water,Friends,A little (mild),Pizza
604826,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",6.0,i think about about the movie home alone,sparkling water,Friends,none,Pizza
387820,4,5.5,Weekend lunch,,men in black,coca cola,Teachers,A little (mild),Pizza
603612,4,7.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,none,water,"Parents,Strangers",none,Pizza
712252,4,13.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,cloudy with a chance of meatballs,coca cola,"Siblings,Friends",none,Pizza
742226,4,3.0,"Week day lunch,Weekend lunch,At a party",5.0,none,pop,"Siblings,Friends",none,Pizza
712771,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20.0,green book,juice,Parents,none,Pizza
746466,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",24.0,the davinci code,gingerale,"Siblings,Friends",A little (mild),Pizza
601737,4,5.0,"Weekend lunch,At a party,Late night snack",5.0,action movie like mission impossible,coca cola,Friends,A little (mild),Pizza
631902,2,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",4.0,spiderman,pop,"Parents,Friends,Teachers",A little (mild),Pizza
312320,5,12.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",1.0,i think of the ninja turtle movies when thinking of pizza,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
519986,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,crazy stupid love,coca cola,"Friends,Strangers",A little (mild),Pizza
626771,2,11.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,i think of the movie little italy the entire plot revolves around two individuals who are competing in a restaurant business where their primary product is this food item,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
407257,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,none,coca cola,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
626883,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,the hunger games,water,Friends,none,Pizza
727339,3,5.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party",15.0,cloudy with a chance of meatballs,sprite,"Friends,Strangers",none,Pizza
631448,4,4.5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",11.0,ratatouille,coca cola,"Parents,Siblings,Friends,Teachers",A lot (hot),Pizza
634885,3,5.0,"Week day lunch,Weekend lunch,At a party",4.0,luca,water,Friends,none,Pizza
619932,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,any movie set in new york,pop,"Teachers,Strangers",A little (mild),Pizza
601986,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",1.0,home alone,milk,Friends,A little (mild),Pizza
631141,4,4.0,"Week day lunch,Weekend dinner,At a party,Late night snack",4.0,home alone,pepsi,"Friends,Strangers",none,Pizza
631069,4,12.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,home alone,coca cola,Friends,A moderate amount (medium),Pizza
634508,4,7.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",3.0,grown ups,coca cola,"Siblings,Friends",A little (mild),Pizza
206744,2,10.0,"Weekend dinner,At a party",5.0,spiderman 2,coca cola,"Parents,Siblings,Friends",none,Pizza
498213,3,5.0,"At a party,Late night snack",2.7,im thinking of cartoons and mostly western based cartoon though i can't think of anything specific but mostly western cartoon movies,none,Friends,A little (mild),Pizza
627496,3,8.0,"Weekend lunch,Weekend dinner,At a party",4.25,home alone,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
629659,1,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,toy story,kraken spiced rum,"Friends,Strangers",A lot (hot),Pizza
630190,2,5.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,i think of italian mobster movies like the godfather,ice tea,"Parents,Friends",none,Pizza
401586,3,10.0,"Week day lunch,At a party,Late night snack",3.5,home alone,coca cola,Friends,A moderate amount (medium),Pizza
629263,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,none,pepsi,"Parents,Siblings,Friends",A little (mild),Pizza
631678,2,5.0,"Week day lunch,Weekend dinner,At a party,Late night snack",5.0,transformers,coca cola,Friends,none,Pizza
411681,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,spiderman with tobey maguire,pop,Friends,none,Pizza
518733,2,5.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,spiderman 2,coca cola,"Parents,Siblings,Friends",A lot (hot),Pizza
630378,3,8.5,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,home alone 2 lost in new york,pepsi,Friends,A moderate amount (medium),Pizza
631142,3,5.0,"Week day dinner,Weekend lunch,At a party,Late night snack",5.0,spiderman,gingerale,"Friends,Teachers",A little (mild),Pizza
519976,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,goodfellas there is a restaurant that sells pizza and is goodfellas themed,water,"Parents,Siblings,Friends,Teachers",none,Pizza
604991,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,toy story,gingerale,"Parents,Teachers,Strangers",A little (mild),Pizza
522483,4,3.0,"Weekend dinner,At a party",10.0,none,water,Friends,none,Pizza
629723,2,4.0,"Week day dinner,Weekend dinner,At a party,Late night snack",8.0,wayne's world,coca cola,Friends,none,Pizza
387522,5,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,none,coca cola,"Friends,Strangers",A little (mild),Pizza
613484,5,8.0,"Week day lunch,Weekend lunch",3.0,avengers end game,coca cola,Friends,A lot (hot),Pizza
388729,5,11.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,none,tea,Friends,none,Pizza
494373,1,5.5,"Weekend dinner,At a party",17.5,spaghetti with a chance of meatballs,coca cola,"Friends,Strangers",none,Pizza
630977,4,6.0,At a party,5.0,none,pop,Friends,none,Pizza
621982,3,5.0,Week day lunch,10.0,man in black,coca cola,Friends,A moderate amount (medium),Pizza
605537,3,6.0,"Week day lunch,Weekend lunch,At a party",8.0,ratatouille,coca cola,Friends,none,Pizza
607073,3,3.5,"Week day dinner,Weekend dinner",3.5,scific type,pop,Friends,A little (mild),Pizza
624443,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,none,pop,Parents,none,Pizza
718089,3,6.0,"Weekend dinner,At a party,Late night snack",5.0,toy story,coca cola,"Friends,Teachers",A little (mild),Pizza
622727,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,home alone,coca cola,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
609617,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,breaking bad,coca cola,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
526064,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2.5,none,pop,"Friends,Teachers",A little (mild),Pizza
609179,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,none,coca cola,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
627638,2,3.0,"Week day lunch,Weekend lunch,At a party",4.0,none,none,"Parents,Siblings",none,Pizza
411117,2,4.0,"Week day dinner,Weekend dinner,At a party,Late night snack",6.0,do the right thing,coca cola,"Parents,Siblings",none,Pizza
634430,3,4.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,deadpool,pepsi,Strangers,none,Pizza
631711,3,3.0,"Week day lunch,Weekend lunch,At a party,Late night snack",10.0,ratatouille,coca cola,"Parents,Siblings,Friends,Teachers,Strangers",A lot (hot),Pizza
606010,3,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,i actually think of the series breaking bad and that famous scene where walter flips out,coca cola,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
631436,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",1.0,i think of the movie cloudy with a chance of meatballs because i associate pizza with popular italian cuisine and meatballs is italian cuisine,pepsi,"Parents,Siblings,Friends",none,Pizza
633712,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,spiderman 2,water,"Parents,Siblings,Friends",none,Pizza
609556,3,7.0,"Week day lunch,Weekend dinner,At a party,Late night snack",5.0,ratatouille,coca cola,"Friends,Teachers",A lot (hot),Pizza
520090,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,space jam,coca cola,"Friends,Strangers",A little (mild),Pizza
602234,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",1.0,when eating pizza i think of the movie shrek 2,coca cola,"Siblings,Friends",A little (mild),Pizza
741592,3,12.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.99,home alone,pop,"Siblings,Friends",none,Pizza
628547,3,9.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,ratatouille,coca cola,"Friends,Teachers",A little (mild),Pizza
501513,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,friends,tea,Friends,A moderate amount (medium),Pizza
630929,3,6.0,"Weekend dinner,At a party",2.0,spiderman,pop,"Siblings,Friends",none,Pizza
617379,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,the spongebob movie 2004,dr pepper,Teachers,A moderate amount (medium),Pizza
617310,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.99,italian jon,coca cola,"Siblings,Friends",none,Pizza
495424,3,5.0,"Week day lunch,At a party",5.0,ratatouille,none,Friends,none,Pizza
622787,3,5.0,"Week day lunch,Weekend lunch,At a party",4.0,spiderman 2,gingerale,"Friends,Teachers",none,Pizza
631716,4,10.0,"Week day lunch,Week day dinner,At a party,Late night snack",5.0,spider man 2,coca cola,"Friends,Teachers,Strangers",A little (mild),Pizza
741658,3,4.0,"Week day lunch,Week day dinner",5.0,ratatouille,sprite,Friends,none,Pizza
620745,4,17.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,diary of a wimpy kid,pop,"Parents,Siblings,Friends,Teachers",none,Pizza
611932,3,10.0,"Week day lunch,At a party,Late night snack",8.0,home alone,pop,"Friends,Strangers",none,Pizza
635602,2,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",19.0,i think of the movie chef2014 as it was very foodrelated and had a lot of ovenbaked goods,coca cola,"Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
619892,3,10.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",16.0,none,pepsi,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
529289,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,step brothers,coca cola,"Parents,Siblings,Friends",A little (mild),Pizza
630738,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,rush hour,pop,"Parents,Siblings,Friends",none,Pizza
524766,5,10.0,"Week day lunch,Weekend lunch,At a party,Late night snack",15.0,idk,pop,"Parents,Siblings,Friends",none,Pizza
522148,2,6.5,"Week day lunch,Week day dinner,At a party",4.0,home alone,coca cola,Friends,none,Pizza
601547,2,3.0,"At a party,Late night snack",15.0,horror movie,coca cola,"Parents,Friends,Strangers",none,Pizza
631046,3,12.5,"Weekend dinner,At a party,Late night snack",10.0,the godfather,coca cola,"Parents,Siblings,Friends",none,Pizza
66222,3,8.0,"At a party,Late night snack",13.0,garfield,coca cola,Friends,A moderate amount (medium),Pizza
603182,2,10.0,"Week day lunch,Weekend dinner,At a party",20.0,ninja turtles,pop,"Parents,Siblings,Friends,Teachers",none,Pizza
632117,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,ratatouille,coca cola,"Parents,Siblings,Friends,Strangers",none,Pizza
630209,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,spongebob,coca cola,Friends,A little (mild),Pizza
413395,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",25.0,marvel movies,coca cola,Friends,A moderate amount (medium),Pizza
386750,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",13.0,none,water,Parents,A little (mild),Pizza
617178,3,18.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,the princess diaries,pop,Parents,none,Pizza
630128,1,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.0,little italy,pop,"Friends,Teachers",none,Pizza
628736,3,11.5,"Week day lunch,Week day dinner,Weekend lunch,At a party",,none,water,"Parents,Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
